"run","tick","UAV-UAV","Manned-Manned","UAV-Manned"
1,1.0,0,0,0
1,4.0,0,0,0
1,7.0,0,0,0
1,10.0,0,0,0
1,13.0,0,0,0
1,16.0,0,0,0
1,19.0,0,0,0
1,22.0,15,0,0
1,25.0,35,0,0
1,28.0,51,0,0
1,31.0,66,0,0
1,34.0,81,0,0
1,37.0,94,0,0
1,40.0,104,0,0
1,43.0,111,0,0
1,46.0,119,0,0
1,49.0,125,0,0
1,52.0,130,0,0
1,55.0,136,0,0
1,58.0,141,0,0
1,61.0,147,0,0
1,64.0,153,0,0
1,67.0,156,0,0
1,70.0,161,0,0
1,73.0,164,0,0
1,76.0,170,0,0
1,79.0,173,0,0
1,82.0,176,0,0
1,85.0,180,0,0
1,88.0,183,0,0
1,91.0,187,0,0
1,94.0,190,0,0
1,97.0,193,0,0
1,100.0,194,0,0
1,103.0,198,0,0
1,106.0,202,0,0
1,109.0,206,0,0
1,112.0,206,0,0
1,115.0,206,0,0
1,118.0,207,0,0
1,121.0,207,0,0
1,124.0,208,0,0
1,127.0,210,0,0
1,130.0,215,0,0
1,133.0,221,0,0
1,136.0,227,0,0
1,139.0,230,0,0
1,142.0,232,0,0
1,145.0,234,0,0
1,148.0,236,0,0
1,151.0,238,0,0
1,154.0,241,0,0
1,157.0,245,0,0
1,160.0,249,0,0
1,163.0,251,0,0
1,166.0,255,0,0
1,169.0,257,0,0
1,172.0,259,0,0
1,175.0,260,0,0
1,178.0,260,0,0
1,181.0,260,0,0
1,184.0,262,0,0
1,187.0,266,0,0
1,190.0,269,0,0
1,193.0,270,0,0
1,196.0,271,0,0
1,199.0,272,0,0
1,202.0,275,0,0
1,205.0,277,0,0
1,208.0,279,0,0
1,211.0,281,0,0
1,214.0,282,0,0
1,217.0,283,0,0
1,220.0,285,0,0
1,223.0,287,0,0
1,226.0,289,0,0
1,229.0,292,0,0
1,232.0,294,0,0
1,235.0,295,0,0
1,238.0,297,0,0
1,241.0,298,0,0
1,244.0,299,0,0
1,247.0,300,0,0
1,250.0,301,0,0
1,253.0,301,0,0
1,256.0,301,0,0
1,259.0,301,0,0
1,262.0,301,0,0
1,265.0,301,0,0
1,268.0,302,0,0
1,271.0,302,0,0
1,274.0,302,0,0
1,277.0,302,0,0
1,280.0,302,0,0
1,283.0,303,0,0
1,286.0,304,0,0
1,289.0,304,0,0
1,292.0,304,0,0
1,295.0,304,0,0
1,298.0,304,0,0
1,301.0,305,0,0
1,304.0,305,0,0
1,307.0,305,0,0
1,310.0,305,0,0
1,313.0,305,0,0
1,316.0,306,0,0
1,319.0,306,0,0
1,322.0,306,0,0
1,325.0,306,0,0
1,328.0,306,0,0
1,331.0,307,0,0
1,334.0,307,0,0
1,337.0,308,0,0
1,340.0,308,0,0
1,343.0,308,0,0
1,346.0,309,0,0
1,349.0,309,0,0
1,352.0,309,0,0
1,355.0,309,0,0
1,358.0,310,0,0
1,361.0,310,0,0
1,364.0,310,0,0
1,367.0,310,0,0
1,370.0,311,0,0
1,373.0,312,0,0
1,376.0,312,0,0
1,379.0,312,0,0
1,382.0,312,0,0
1,385.0,312,0,0
1,388.0,313,0,0
1,391.0,313,0,0
1,394.0,313,0,0
1,397.0,313,0,0
1,400.0,314,0,0
1,403.0,314,0,0
1,406.0,314,0,0
1,409.0,314,0,0
1,412.0,314,0,0
1,415.0,315,0,0
1,418.0,316,0,0
1,421.0,316,0,0
1,424.0,316,0,0
1,427.0,317,0,0
1,430.0,317,0,0
1,433.0,317,0,0
1,436.0,317,0,0
1,439.0,318,0,0
1,442.0,318,0,0
1,445.0,318,0,0
1,448.0,318,0,0
1,451.0,319,0,0
1,454.0,319,0,0
1,457.0,319,0,0
1,460.0,320,0,0
1,463.0,321,0,0
1,466.0,321,0,0
1,469.0,321,0,0
1,472.0,322,0,0
1,475.0,322,0,0
1,478.0,322,0,0
1,481.0,322,0,0
1,484.0,322,0,0
1,487.0,323,0,0
1,490.0,323,0,0
1,493.0,323,0,0
1,496.0,324,0,0
1,499.0,324,0,0
1,502.0,325,0,0
1,505.0,326,0,0
1,508.0,326,0,0
1,511.0,326,0,0
1,514.0,327,0,0
1,517.0,327,0,0
1,520.0,327,0,0
1,523.0,327,0,0
1,526.0,327,0,0
1,529.0,328,0,0
1,532.0,329,0,0
1,535.0,330,0,0
1,538.0,330,0,0
1,541.0,330,0,0
1,544.0,331,0,0
1,547.0,331,0,0
1,550.0,331,0,0
1,553.0,331,0,0
1,556.0,331,0,0
1,559.0,332,0,0
1,562.0,332,0,0
1,565.0,333,0,0
1,568.0,335,0,0
1,571.0,335,0,0
1,574.0,335,0,0
1,577.0,335,0,0
1,580.0,336,0,0
1,583.0,336,0,0
1,586.0,336,0,0
1,589.0,337,0,0
1,592.0,337,0,0
1,595.0,338,0,0
1,598.0,338,0,0
1,601.0,339,0,0
1,604.0,340,0,0
1,607.0,341,0,0
1,610.0,341,0,0
1,613.0,341,0,0
1,616.0,342,0,0
1,619.0,342,0,0
1,622.0,343,0,0
1,625.0,343,0,0
1,628.0,343,0,0
1,631.0,344,0,0
1,634.0,344,0,0
1,637.0,345,0,0
1,640.0,346,0,0
1,643.0,347,0,0
1,646.0,347,0,0
1,649.0,348,0,0
1,652.0,348,0,0
1,655.0,349,0,0
1,658.0,349,0,0
1,661.0,350,0,0
1,664.0,351,0,0
1,667.0,352,0,0
1,670.0,352,0,0
1,673.0,352,0,0
1,676.0,353,0,0
1,679.0,354,0,0
1,682.0,354,0,0
1,685.0,355,0,0
1,688.0,356,0,0
1,691.0,357,0,0
1,694.0,357,0,0
