"run","randomSeed","UAV_LateralMaxSpeedMPS","Manned_VerticalMaxSpeedMPS","Manned_LateralMaxSpeedMPS","Manned_LayersPer360","UAV_VerticalMaxSpeedMPS","Manned_RequiredVerticalSeparationM","Manned_BaseAltitude","UAV_LayersPer360","UAV_BaseAltitude","UAV_RequiredVerticalSeparationM"
1,1319863415,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
16,1319884409,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
10,1319880673,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
11,1319857263,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
12,1319858632,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
13,1319860460,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
14,1319862683,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
15,1319865053,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
2,1319869472,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
17,1319891683,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
3,1319876298,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
18,1319891924,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
4,1319870240,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
5,1319876968,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
6,1319874634,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
7,1319877898,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
8,1319878641,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
9,1319879049,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
