run,tick,UAV-UAV,Manned-Manned,UAV-Manned,,,,max airproxes,,,,,,,,,,,,,,,,,,
1,1,0,0,0,,,run,U-U,M-M,U-M,UAV layers,,,,run,randomSeed,UAV_LateralMaxSpeedMPS,Manned_VerticalMaxSpeedMPS,Manned_LateralMaxSpeedMPS,Manned_LayersPer360,UAV_VerticalMaxSpeedMPS,Manned_RequiredVerticalSeparationM,Manned_BaseAltitude,UAV_LayersPer360,UAV_BaseAltitude,UAV_RequiredVerticalSeparationM
1,136,173,0,0,,,51,207,0,0,30,,,,36,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,36,152.4,30.48
1,139,173,0,0,,,16,217,0,0,32,,,,38,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,4,152.4,30.48
1,142,173,0,0,,,34,195,0,0,32,,,,40,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,8,152.4,30.48
1,145,173,0,0,,,52,207,0,0,32,,,,42,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,12,152.4,30.48
1,148,173,0,0,,,17,217,0,0,34,,,,44,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,16,152.4,30.48
1,151,174,0,0,,,35,195,0,0,34,,,,46,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,20,152.4,30.48
1,154,175,0,0,,,53,207,0,0,34,,,,48,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,24,152.4,30.48
1,157,175,0,0,,,18,217,0,0,36,,,,50,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,28,152.4,30.48
1,160,175,0,0,,,36,195,0,0,36,,,,52,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,32,152.4,30.48
1,163,175,0,0,,,54,207,0,0,36,,,,54,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,36,152.4,30.48
1,166,175,0,0,,,,,,,,,,,,,,,,,,,,,,
1,169,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,172,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,175,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,178,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,181,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,184,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,187,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,190,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,193,176,0,0,,,,,,,,,,,,,,,,,,,,,,
1,196,177,0,0,,,,,,,,,,,,,,,,,,,,,,
1,199,177,0,0,,,,,,,,,,,,,,,,,,,,,,
1,202,177,0,0,,,,,,,,,,,,,,,,,,,,,,
1,205,177,0,0,,,,,,,,,,,,,,,,,,,,,,
