"run","tick","UAV-UAV","Manned-Manned","UAV-Manned"
1,1.0,0,0,0
1,4.0,0,0,0
1,7.0,0,0,0
1,10.0,0,0,0
1,13.0,0,0,0
1,16.0,0,0,0
1,19.0,0,0,0
1,22.0,6,0,0
1,25.0,15,0,0
1,28.0,22,0,0
1,31.0,28,0,0
1,34.0,34,0,0
1,37.0,35,0,0
1,40.0,35,0,0
1,43.0,35,0,0
1,46.0,35,0,0
1,49.0,35,0,0
1,52.0,35,0,0
1,55.0,35,0,0
1,58.0,35,0,0
1,61.0,37,0,0
1,64.0,40,0,0
1,67.0,43,0,0
1,70.0,45,0,0
1,73.0,48,0,0
1,76.0,51,0,0
1,79.0,54,0,0
1,82.0,57,0,0
1,85.0,60,0,0
1,88.0,63,0,0
1,91.0,66,0,0
1,94.0,69,0,0
1,97.0,71,0,0
1,100.0,74,0,0
1,103.0,77,0,0
1,106.0,80,0,0
1,109.0,83,0,0
1,112.0,86,0,0
1,115.0,89,0,0
1,118.0,92,0,0
1,121.0,95,0,0
1,124.0,98,0,0
1,127.0,101,0,0
1,130.0,104,0,0
1,133.0,107,0,0
1,136.0,110,0,0
1,139.0,113,0,0
1,142.0,116,0,0
1,145.0,119,0,0
1,148.0,121,0,0
1,151.0,124,0,0
1,154.0,126,0,0
1,157.0,127,0,0
1,160.0,127,0,0
1,163.0,127,0,0
1,166.0,127,0,0
1,169.0,127,0,0
1,172.0,127,0,0
1,175.0,127,0,0
1,178.0,127,0,0
1,181.0,127,0,0
1,184.0,127,0,0
1,187.0,127,0,0
1,190.0,127,0,0
1,193.0,127,0,0
1,196.0,127,0,0
1,199.0,127,0,0
1,202.0,127,0,0
1,205.0,127,0,0
1,208.0,127,0,0
1,211.0,127,0,0
1,214.0,127,0,0
1,217.0,127,0,0
1,220.0,127,0,0
1,223.0,127,0,0
1,226.0,127,0,0
1,229.0,127,0,0
1,232.0,127,0,0
1,235.0,127,0,0
1,238.0,127,0,0
1,241.0,127,0,0
1,244.0,127,0,0
1,247.0,127,0,0
1,250.0,127,0,0
1,253.0,127,0,0
1,256.0,127,0,0
1,259.0,127,0,0
1,262.0,127,0,0
1,265.0,127,0,0
1,268.0,127,0,0
1,271.0,127,0,0
1,274.0,127,0,0
1,277.0,127,0,0
1,280.0,127,0,0
1,283.0,127,0,0
1,286.0,127,0,0
1,289.0,127,0,0
1,292.0,127,0,0
1,295.0,127,0,0
1,298.0,127,0,0
1,301.0,127,0,0
1,304.0,127,0,0
1,307.0,127,0,0
1,310.0,127,0,0
1,313.0,127,0,0
1,316.0,127,0,0
1,319.0,127,0,0
1,322.0,127,0,0
1,325.0,127,0,0
1,328.0,127,0,0
1,331.0,127,0,0
1,334.0,127,0,0
1,337.0,127,0,0
1,340.0,127,0,0
1,343.0,127,0,0
1,346.0,127,0,0
1,349.0,127,0,0
1,352.0,127,0,0
1,355.0,127,0,0
1,358.0,127,0,0
1,361.0,127,0,0
1,364.0,127,0,0
1,367.0,127,0,0
1,370.0,127,0,0
1,373.0,127,0,0
1,376.0,127,0,0
1,379.0,127,0,0
1,382.0,127,0,0
1,385.0,127,0,0
1,388.0,127,0,0
1,391.0,127,0,0
1,394.0,127,0,0
1,397.0,127,0,0
1,400.0,127,0,0
1,403.0,127,0,0
1,406.0,127,0,0
1,409.0,127,0,0
1,412.0,127,0,0
1,415.0,127,0,0
1,418.0,127,0,0
1,421.0,127,0,0
1,424.0,127,0,0
1,427.0,127,0,0
1,430.0,127,0,0
1,433.0,127,0,0
1,436.0,127,0,0
1,439.0,130,0,0
1,442.0,133,0,0
1,445.0,134,0,0
1,448.0,135,0,0
1,451.0,135,0,0
1,454.0,135,0,0
1,457.0,135,0,0
1,460.0,135,0,0
1,463.0,135,0,0
1,466.0,135,0,0
1,469.0,135,0,0
1,472.0,135,0,0
1,475.0,135,0,0
1,478.0,135,0,0
1,481.0,135,0,0
1,484.0,135,0,0
1,487.0,135,0,0
1,490.0,135,0,0
1,493.0,135,0,0
1,496.0,135,0,0
1,499.0,135,0,0
1,502.0,135,0,0
1,505.0,135,0,0
1,508.0,135,0,0
1,511.0,135,0,0
1,514.0,135,0,0
1,517.0,135,0,0
1,520.0,135,0,0
1,523.0,135,0,0
1,526.0,135,0,0
1,529.0,135,0,0
1,532.0,135,0,0
1,535.0,135,0,0
1,538.0,135,0,0
1,541.0,135,0,0
1,544.0,135,0,0
1,547.0,135,0,0
1,550.0,135,0,0
1,553.0,135,0,0
1,556.0,135,0,0
1,559.0,135,0,0
1,562.0,135,0,0
1,565.0,135,0,0
1,568.0,135,0,0
1,571.0,135,0,0
1,574.0,135,0,0
1,577.0,135,0,0
1,580.0,135,0,0
1,583.0,135,0,0
1,586.0,135,0,0
1,589.0,135,0,0
1,592.0,135,0,0
1,595.0,135,0,0
1,598.0,135,0,0
1,601.0,135,0,0
1,604.0,135,0,0
1,607.0,135,0,0
1,610.0,135,0,0
1,613.0,135,0,0
1,616.0,135,0,0
1,619.0,135,0,0
1,622.0,135,0,0
1,625.0,135,0,0
1,628.0,135,0,0
1,631.0,135,0,0
1,634.0,135,0,0
1,637.0,135,0,0
1,640.0,135,0,0
1,643.0,135,0,0
1,646.0,135,0,0
1,649.0,135,0,0
1,652.0,135,0,0
1,655.0,135,0,0
1,658.0,135,0,0
1,661.0,135,0,0
1,664.0,135,0,0
1,667.0,135,0,0
1,670.0,135,0,0
1,673.0,135,0,0
1,676.0,135,0,0
1,679.0,135,0,0
1,682.0,135,0,0
1,685.0,135,0,0
1,688.0,135,0,0
1,691.0,135,0,0
1,694.0,135,0,0
