"run","randomSeed","UAV_LateralMaxSpeedMPS","Manned_VerticalMaxSpeedMPS","Manned_LateralMaxSpeedMPS","Manned_LayersPer360","UAV_VerticalMaxSpeedMPS","Manned_RequiredVerticalSeparationM","Manned_BaseAltitude","UAV_LayersPer360","UAV_BaseAltitude","UAV_RequiredVerticalSeparationM"
1,1319360756,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
10,1319355471,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
2,1319356104,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
3,1319358911,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
4,1319363015,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
5,1319361557,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
6,1319365529,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
7,1319362299,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
8,1319364440,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
9,1319354713,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
