"run","randomSeed","UAV_LateralMaxSpeedMPS","Manned_VerticalMaxSpeedMPS","Manned_LateralMaxSpeedMPS","Manned_LayersPer360","UAV_VerticalMaxSpeedMPS","Manned_RequiredVerticalSeparationM","Manned_BaseAltitude","UAV_LayersPer360","UAV_BaseAltitude","UAV_RequiredVerticalSeparationM"
13,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
28,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
43,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
58,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
14,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
29,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
44,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
59,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
15,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
30,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
45,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
60,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
2,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
17,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
32,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
47,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
62,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
3,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
18,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
33,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
48,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
63,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
4,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
19,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
34,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
49,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
64,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
5,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
20,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
35,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
50,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
65,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
6,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
21,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
36,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
51,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
66,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
7,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
22,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
37,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
52,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
67,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
8,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
23,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
38,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
53,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
68,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
9,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
24,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
39,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
54,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
69,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
