"run","randomSeed","UAV_LateralMaxSpeedMPS","Manned_VerticalMaxSpeedMPS","Manned_LateralMaxSpeedMPS","Manned_LayersPer360","UAV_VerticalMaxSpeedMPS","Manned_RequiredVerticalSeparationM","Manned_BaseAltitude","UAV_LayersPer360","UAV_BaseAltitude","UAV_RequiredVerticalSeparationM"
1,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
16,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
31,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
46,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
61,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
10,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
25,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
40,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
55,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
70,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
11,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
26,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
41,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
56,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
71,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
12,100,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
27,110,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
42,120,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
57,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
72,130,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
